make	mistake
give	warning
do	iron
have	breakfast
give	squeal
feel	sick
conduct	raid
give	tap
make	tour
have	plan
give	shrug
do	harm
make	effort
make	appearance
take	look
make	attempt
feel	need
make	jab
work	do
get	fever
make	speech
take	look
maintain	hygiene
take	vote
do	job
take	note
reach	decision
take	action
take	view
experience	problem
have	effect
make	decision
make	grimace
do	job
have	need
make	deal
put	smile
take	care
have	weekend
give	call
have	fun
take	care
have	chance
get	chance
make	adjustment
make	adjustment
cause	issue
make	adjustment
make	adjustment
cause	issue
meet	need
take	responsibility
do	drug
make	choice
give	right
create	climate
make	progress
conduct	research
give	credence
trigger	cascade
make	generalization
make	step
do	effect
take	photo
get	rid
have	problem
take	photo
take	photo
pay	attention
take	sanctuary
do	trick
have	concern
make	adjustment
take	look
have	problem
leave	message
make	donation
make	decision
bring	conflict
play	part
take	provision
take	responsibility
grant	access
